time,x,y,z,MF
3.026,2.88,-37.08,-5.16,37.55
3.033,2.88,-37.08,-5.16,37.55
3.043,2.82,-37.08,-5.16,37.54
3.052,2.82,-37.08,-5.16,37.54
3.063,2.82,-37.14,-5.16,37.60
3.088,2.76,-37.08,-5.16,37.54
3.090,2.76,-37.08,-5.22,37.55
3.098,2.76,-37.02,-5.22,37.49
3.103,2.76,-37.02,-5.28,37.50
3.113,2.76,-36.96,-5.34,37.45
3.126,2.76,-36.96,-5.40,37.45
3.132,2.76,-36.90,-5.46,37.40
3.144,2.76,-36.84,-5.52,37.35
3.152,2.76,-36.84,-5.58,37.36
3.163,2.76,-36.84,-5.58,37.36
3.170,2.76,-36.84,-5.58,37.36
3.189,2.76,-36.84,-5.64,37.37
3.191,2.82,-36.90,-5.64,37.43
3.201,2.82,-36.90,-5.64,37.43
3.210,2.82,-36.96,-5.64,37.49
3.221,2.82,-36.96,-5.64,37.49
3.232,2.82,-37.02,-5.58,37.54
3.242,2.76,-37.08,-5.52,37.59
3.253,2.76,-37.08,-5.46,37.58
3.262,2.76,-37.08,-5.40,37.57
3.271,2.70,-37.08,-5.34,37.56
3.281,2.70,-37.08,-5.28,37.55
3.307,2.70,-37.08,-5.22,37.54
3.311,2.70,-37.02,-5.10,37.47
3.313,2.70,-37.02,-5.10,37.47
3.320,2.70,-37.02,-5.10,37.47
3.332,2.70,-37.02,-5.04,37.46
3.345,2.64,-37.02,-5.04,37.45
3.350,2.64,-37.02,-5.10,37.46
3.362,2.64,-37.02,-5.10,37.46
3.370,2.64,-37.02,-5.10,37.46
3.388,2.64,-37.02,-5.10,37.46
3.391,2.58,-36.96,-5.10,37.40
3.404,2.58,-36.96,-5.10,37.40
3.413,2.58,-37.02,-5.10,37.46
3.421,2.58,-37.02,-5.10,37.46
3.429,2.58,-37.02,-5.10,37.46
3.440,2.52,-37.02,-5.10,37.45
3.449,2.52,-37.02,-5.10,37.45
3.466,2.52,-37.02,-5.10,37.45
3.470,2.52,-37.02,-5.10,37.45
3.489,2.52,-37.02,-5.10,37.45
3.490,2.52,-37.02,-5.10,37.45
3.512,2.52,-37.08,-5.10,37.51
3.513,2.52,-37.08,-5.16,37.52
3.521,2.52,-37.08,-5.16,37.52
3.534,2.52,-37.08,-5.16,37.52
3.541,2.52,-37.08,-5.16,37.52
3.550,2.46,-37.08,-5.16,37.52
3.561,2.46,-37.02,-5.16,37.46
3.568,2.46,-37.02,-5.16,37.46
3.591,2.46,-37.02,-5.22,37.47
3.591,2.46,-37.02,-5.22,37.47
3.605,2.52,-36.96,-5.22,37.41
3.607,2.52,-36.96,-5.22,37.41
3.620,2.52,-36.96,-5.22,37.41
3.629,2.52,-36.96,-5.22,37.41
3.639,2.52,-36.96,-5.28,37.42
3.648,2.52,-36.96,-5.28,37.42
3.659,2.52,-36.96,-5.28,37.42
3.669,2.52,-37.02,-5.28,37.48
3.694,2.46,-37.02,-5.22,37.47
3.702,2.46,-37.02,-5.22,37.47
3.702,2.40,-37.02,-5.16,37.45
3.708,2.40,-37.02,-5.16,37.45
3.720,2.40,-37.02,-5.10,37.45
3.733,2.34,-37.02,-5.10,37.44
3.739,2.34,-37.02,-5.04,37.43
3.751,2.34,-37.08,-5.04,37.49
3.759,2.34,-37.08,-5.04,37.49
3.768,2.34,-37.08,-5.04,37.49
3.794,2.34,-37.08,-5.10,37.50
3.796,2.40,-37.14,-5.10,37.57
3.798,2.40,-37.14,-5.10,37.57
3.807,2.40,-37.20,-5.10,37.62
3.818,2.40,-37.20,-5.10,37.62
3.827,2.34,-37.20,-5.10,37.62
3.838,2.34,-37.26,-5.10,37.68
3.849,2.34,-37.26,-5.16,37.69
3.858,2.34,-37.26,-5.16,37.69
3.867,2.28,-37.26,-5.16,37.68
3.878,2.28,-37.26,-5.16,37.68
3.898,2.28,-37.26,-5.16,37.68
3.900,2.28,-37.26,-5.16,37.68
3.907,2.28,-37.26,-5.22,37.69
3.918,2.28,-37.32,-5.22,37.75
3.927,2.28,-37.32,-5.22,37.75
3.938,2.28,-37.38,-5.28,37.82
3.952,2.28,-37.38,-5.28,37.82
3.958,2.28,-37.38,-5.28,37.82
3.968,2.28,-37.38,-5.28,37.82
3.977,2.34,-37.38,-5.28,37.82
3.997,2.34,-37.38,-5.28,37.82
3.999,2.34,-37.38,-5.28,37.82
4.007,2.34,-37.44,-5.28,37.88
4.022,2.34,-37.44,-5.28,37.88
4.027,2.34,-37.44,-5.28,37.88
4.037,2.34,-37.50,-5.28,37.94
4.046,2.34,-37.50,-5.28,37.94
4.057,2.34,-37.50,-5.28,37.94
4.085,2.34,-37.50,-5.28,37.94
4.090,2.34,-37.50,-5.28,37.94
4.091,2.28,-37.50,-5.28,37.94
4.096,2.28,-37.50,-5.28,37.94
4.106,2.28,-37.50,-5.28,37.94
4.118,2.28,-37.50,-5.28,37.94
4.125,2.28,-37.50,-5.22,37.93
4.136,2.28,-37.50,-5.22,37.93
4.146,2.28,-37.50,-5.22,37.93
4.156,2.28,-37.50,-5.22,37.93
4.182,2.28,-37.56,-5.22,37.99
4.185,2.34,-37.56,-5.22,37.99
4.190,2.40,-37.56,-5.22,38.00
4.198,2.40,-37.56,-5.22,38.00
4.207,2.46,-37.62,-5.22,38.06
4.222,2.52,-37.62,-5.22,38.06
4.225,2.52,-37.62,-5.22,38.06
4.239,2.58,-37.62,-5.22,38.07
4.246,2.58,-37.62,-5.22,38.07
4.256,2.52,-37.62,-5.16,38.06
4.265,2.46,-37.62,-5.16,38.05
4.288,2.40,-37.62,-5.16,38.05
4.290,2.28,-37.62,-5.10,38.03
4.297,2.22,-37.62,-5.10,38.03
4.309,2.10,-37.62,-5.04,38.01
4.315,2.04,-37.56,-5.04,37.95
4.325,1.98,-37.56,-5.04,37.95
4.340,1.92,-37.56,-5.04,37.95
4.344,1.86,-37.56,-5.04,37.94
4.355,1.86,-37.50,-4.98,37.87
4.364,1.86,-37.50,-4.98,37.87
4.384,1.86,-37.50,-4.98,37.87
4.390,1.80,-37.50,-4.98,37.87
4.395,1.80,-37.50,-4.98,37.87
4.407,1.86,-37.50,-5.04,37.88
4.416,1.92,-37.50,-5.04,37.89
4.425,1.92,-37.50,-5.04,37.89
4.441,1.98,-37.50,-5.10,37.90
4.444,2.04,-37.50,-5.10,37.90
4.464,2.10,-37.50,-5.16,37.91
4.466,2.16,-37.56,-5.16,37.97
4.476,2.28,-37.56,-5.22,37.99
4.483,2.34,-37.56,-5.22,37.99
4.495,2.40,-37.56,-5.28,38.01
4.508,2.46,-37.56,-5.34,38.02
4.514,2.58,-37.56,-5.40,38.03
4.523,2.58,-37.56,-5.40,38.03
4.534,2.58,-37.62,-5.46,38.10
4.544,2.64,-37.62,-5.58,38.12
4.558,2.58,-37.62,-5.58,38.12
4.565,2.52,-37.68,-5.64,38.18
4.579,2.40,-37.68,-5.64,38.18
4.584,2.34,-37.74,-5.64,38.23
4.605,2.22,-37.74,-5.64,38.22
4.608,2.16,-37.80,-5.64,38.28
4.614,2.10,-37.80,-5.58,38.27
4.626,2.10,-37.80,-5.52,38.26
4.634,2.04,-37.80,-5.52,38.26
4.643,2.04,-37.86,-5.46,38.31
4.653,2.04,-37.86,-5.46,38.31
4.664,2.10,-37.86,-5.40,38.30
4.687,2.10,-37.86,-5.40,38.30
4.697,2.10,-37.86,-5.40,38.30
4.698,2.10,-37.86,-5.40,38.30
4.703,2.10,-37.86,-5.40,38.30
4.713,2.16,-37.86,-5.40,38.30
4.723,2.10,-37.86,-5.40,38.30
4.733,2.10,-37.86,-5.40,38.30
4.742,2.10,-37.86,-5.40,38.30
4.753,2.10,-37.86,-5.40,38.30
4.764,2.04,-37.86,-5.40,38.30
4.781,2.04,-37.86,-5.46,38.31
4.783,2.04,-37.92,-5.46,38.37
4.805,1.98,-37.92,-5.46,38.36
4.806,1.98,-37.92,-5.46,38.36
4.813,1.98,-37.92,-5.46,38.36
4.822,1.98,-37.92,-5.52,38.37
4.835,1.98,-37.92,-5.52,38.37
4.844,1.98,-37.92,-5.52,38.37
4.854,1.92,-37.92,-5.52,38.37
4.862,1.92,-37.92,-5.52,38.37
4.890,1.92,-37.98,-5.52,38.43
4.892,1.92,-37.98,-5.58,38.44
4.893,1.92,-37.98,-5.58,38.44
4.902,1.92,-37.98,-5.58,38.44
4.912,1.92,-37.98,-5.58,38.44
4.921,1.98,-37.98,-5.58,38.44
4.932,2.04,-37.98,-5.58,38.44
4.944,2.10,-37.98,-5.58,38.45
4.953,2.16,-37.98,-5.58,38.45
4.963,2.22,-37.98,-5.58,38.45
4.973,2.28,-37.98,-5.64,38.46
4.982,2.28,-37.92,-5.64,38.40
5.013,2.34,-37.92,-5.64,38.41
5.014,2.34,-37.92,-5.64,38.41
5.016,2.34,-37.92,-5.70,38.42
5.020,2.34,-37.92,-5.70,38.42
5.033,2.34,-37.92,-5.70,38.42
5.040,2.34,-37.92,-5.70,38.42
5.051,2.34,-37.92,-5.70,38.42
5.062,2.34,-37.92,-5.70,38.42
5.071,2.34,-37.92,-5.70,38.42
5.086,2.28,-37.92,-5.70,38.41
5.091,2.22,-37.92,-5.76,38.42
5.107,2.16,-37.86,-5.76,38.36
5.115,2.10,-37.80,-5.76,38.29
5.120,2.10,-37.80,-5.82,38.30
5.131,2.04,-37.74,-5.82,38.24
5.139,1.98,-37.74,-5.82,38.24
5.151,1.98,-37.68,-5.82,38.18
5.163,1.92,-37.62,-5.88,38.13
5.172,1.92,-37.62,-5.82,38.12
5.198,1.92,-37.62,-5.88,38.13
5.201,1.92,-37.80,-5.88,38.30
5.204,1.92,-37.92,-5.88,38.42
5.226,1.86,-38.04,-5.88,38.54
5.228,1.86,-38.22,-5.88,38.71
5.232,1.86,-38.34,-5.88,38.83
5.239,1.86,-38.46,-5.82,38.94
5.250,1.92,-38.58,-5.82,39.06
5.259,1.92,-38.70,-5.82,39.18
5.271,1.92,-38.70,-5.82,39.18
5.287,1.98,-38.70,-5.76,39.18
5.293,1.98,-38.70,-5.76,39.18
5.311,2.04,-38.76,-5.70,39.23
5.314,2.10,-38.76,-5.70,39.23
5.319,2.16,-38.82,-5.70,39.30
5.332,2.16,-38.88,-5.70,39.35
5.339,2.22,-38.94,-5.70,39.42
5.350,2.22,-38.94,-5.64,39.41
5.358,2.28,-38.94,-5.64,39.41
5.370,2.28,-39.00,-5.64,39.47
5.397,2.28,-39.00,-5.64,39.47
5.400,2.28,-38.94,-5.64,39.41
5.401,2.28,-38.94,-5.64,39.41
5.409,2.28,-38.88,-5.64,39.35
5.420,2.34,-38.88,-5.64,39.36
5.436,2.34,-38.82,-5.64,39.30
5.438,2.34,-38.82,-5.64,39.30
5.449,2.34,-38.76,-5.64,39.24
5.458,2.34,-38.76,-5.64,39.24
5.468,2.34,-38.70,-5.64,39.18
5.478,2.34,-38.70,-5.64,39.18
5.492,2.34,-38.64,-5.64,39.12
5.512,2.34,-38.64,-5.64,39.12
5.513,2.34,-38.58,-5.64,39.06
5.518,2.34,-38.58,-5.64,39.06
5.528,2.28,-38.58,-5.64,39.06
5.538,2.28,-38.58,-5.64,39.06
5.549,2.28,-38.52,-5.64,39.00
5.558,2.22,-38.58,-5.64,39.05
5.569,2.16,-38.58,-5.70,39.06
5.577,2.10,-38.58,-5.70,39.06
5.593,2.04,-38.58,-5.70,39.05
5.611,1.98,-38.64,-5.70,39.11
5.613,1.92,-38.64,-5.70,39.11
5.623,1.92,-38.70,-5.70,39.16
5.629,1.86,-38.70,-5.70,39.16
5.637,1.86,-38.76,-5.70,39.22
5.654,1.86,-38.76,-5.76,39.23
5.657,1.86,-38.82,-5.76,39.29
5.671,1.86,-38.82,-5.76,39.29
5.682,1.86,-38.82,-5.76,39.29
5.699,1.92,-38.88,-5.82,39.36
5.700,1.92,-38.88,-5.82,39.36
5.707,1.92,-38.94,-5.82,39.42
5.717,1.92,-38.94,-5.82,39.42
5.727,1.92,-38.94,-5.76,39.41
5.737,1.92,-38.94,-5.82,39.42
5.748,1.92,-39.00,-5.82,39.48
5.757,1.92,-39.00,-5.82,39.48
5.779,1.92,-39.00,-5.82,39.48
